TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	COLUMN_KEY	IS_NULLABLE	COLUMN_DEFAULT	EXTRA
gymies_admin_alerts	id	bigint unsigned	PRI	NO	NULL	auto_increment
gymies_admin_alerts	alert_type	varchar(80)	MUL	NO	NULL	
gymies_admin_alerts	severity	varchar(20)		NO	low	
gymies_admin_alerts	title	varchar(255)		NO	NULL	
gymies_admin_alerts	message	text		NO	NULL	
gymies_admin_alerts	entity_type	varchar(80)		YES	NULL	
gymies_admin_alerts	entity_id	bigint unsigned		YES	NULL	
gymies_admin_alerts	linked_ticket_id	bigint unsigned	MUL	YES	NULL	
gymies_admin_alerts	status	varchar(20)	MUL	NO	open	
gymies_admin_alerts	resolution_type	varchar(64)		YES	NULL	
gymies_admin_alerts	resolution_reason	varchar(500)		YES	NULL	
gymies_admin_alerts	resolved_at	timestamp		YES	NULL	
gymies_admin_alerts	resolved_by_user_id	bigint unsigned		YES	NULL	
gymies_admin_alerts	created_by_user_id	bigint unsigned		YES	NULL	
gymies_admin_alerts	acknowledged_by_user_id	bigint unsigned		YES	NULL	
gymies_admin_alerts	acknowledged_at	timestamp		YES	NULL	
gymies_admin_alerts	created_at	timestamp		YES	CURRENT_TIMESTAMP	DEFAULT_GENERATED
gymies_admin_alerts	updated_at	timestamp		YES	CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
gymies_admin_ip_allowlist	id	bigint unsigned	PRI	NO	NULL	auto_increment
gymies_admin_ip_allowlist	ip_pattern	varchar(64)		NO	NULL	
gymies_admin_ip_allowlist	status	varchar(20)	MUL	NO	active	
gymies_admin_ip_allowlist	created_by_user_id	bigint unsigned		YES	NULL	
gymies_admin_ip_allowlist	created_at	timestamp		YES	CURRENT_TIMESTAMP	DEFAULT_GENERATED
gymies_admin_ip_allowlist	updated_at	timestamp		YES	CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
gymies_admin_note_templates	id	bigint unsigned	PRI	NO	NULL	auto_increment
gymies_admin_note_templates	name	varchar(120)	MUL	NO	NULL	
gymies_admin_note_templates	body	text		NO	NULL	
gymies_admin_note_templates	category	varchar(32)	MUL	NO	general	
gymies_admin_note_templates	sort_order	smallint		NO	0	
gymies_admin_note_templates	created_at	timestamp		YES	CURRENT_TIMESTAMP	DEFAULT_GENERATED
gymies_admin_nudges	id	bigint unsigned	PRI	NO	NULL	auto_increment
gymies_admin_nudges	user_id	bigint unsigned	MUL	NO	NULL	
gymies_admin_nudges	nudge_type	varchar(40)		NO	NULL	
gymies_admin_nudges	title	varchar(255)		YES	NULL	
gymies_admin_nudges	body	text		YES	NULL	
gymies_admin_nudges	discount_code	varchar(64)		YES	NULL	
gymies_admin_nudges	created_by_user_id	bigint unsigned	MUL	YES	NULL	
gymies_admin_nudges	created_at	timestamp	MUL	YES	CURRENT_TIMESTAMP	DEFAULT_GENERATED
gymies_admin_permissions	id	bigint unsigned	PRI	NO	NULL	auto_increment
gymies_admin_permissions	permission_key	varchar(160)	UNI	NO	NULL	
gymies_admin_permissions	permission_name	varchar(255)		NO	NULL	
gymies_admin_permissions	created_at	timestamp		YES	CURRENT_TIMESTAMP	DEFAULT_GENERATED
gymies_admin_permissions	updated_at	timestamp		YES	CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
gymies_admin_refunds	id	bigint unsigned	PRI	NO	NULL	auto_increment
gymies_admin_refunds	booking_id	bigint unsigned	MUL	NO	NULL	
gymies_admin_refunds	client_user_id	bigint unsigned	MUL	NO	NULL	
gymies_admin_refunds	type	varchar(32)		NO	NULL	
gymies_admin_refunds	amount_cents	int unsigned		NO	NULL	
gymies_admin_refunds	status	varchar(32)		NO	pending	
gymies_admin_refunds	reason	varchar(500)		NO	NULL	
gymies_admin_refunds	admin_user_id	bigint unsigned	MUL	NO	NULL	
gymies_admin_refunds	created_at	timestamp	MUL	YES	CURRENT_TIMESTAMP	DEFAULT_GENERATED
gymies_admin_role_permissions	id	bigint unsigned	PRI	NO	NULL	auto_increment
gymies_admin_role_permissions	role_id	bigint unsigned	MUL	NO	NULL	
gymies_admin_role_permissions	permission_id	bigint unsigned	MUL	NO	NULL	
