TABLE_NAME	TABLE_ROWS	DATA_LENGTH	INDEX_LENGTH
cache	0	16384	0
cache_locks	0	16384	0
contacts	0	16384	0
dispatcher_sessions	NULL	NULL	NULL
driver_locations	NULL	NULL	NULL
drivers	NULL	NULL	NULL
failed_jobs	3	49152	16384
gamersunited_cart_items	0	16384	65536
gamersunited_categories	0	16384	16384
gamersunited_products	0	16384	16384
gym_invites	0	16384	49152
gym_team_members	0	16384	32768
gymies_admin_alerts	0	16384	49152
gymies_admin_ip_allowlist	5	16384	16384
gymies_admin_note_templates	8	16384	32768
gymies_admin_nudges	0	16384	49152
gymies_admin_permissions	16	16384	16384
gymies_admin_refunds	0	16384	65536
gymies_admin_role_permissions	16	16384	49152
gymies_admin_roles	0	16384	16384
gymies_admin_saved_views	0	16384	16384
gymies_admin_user_notes	0	16384	32768
gymies_ambassador_applications	2	16384	49152
gymies_ambassador_conversions	0	16384	81920
gymies_ambassadors	2	16384	98304
gymies_api_error_logs	232	65536	16384
gymies_app_versions	0	16384	16384
gymies_audit_log	26	16384	49152
gymies_auth_attempts	289	49152	49152
gymies_availability_exceptions	0	16384	32768
gymies_availability_slots	21	16384	32768
gymies_backup_runs	0	16384	0
gymies_booking_mollie_payments	0	16384	0
gymies_booking_participants	0	16384	65536
gymies_booking_promo	0	16384	32768
gymies_booking_reviews	0	16384	0
gymies_bookings	115	16384	180224
gymies_broadcasts	0	16384	49152
gymies_buddy_bookings	0	16384	0
gymies_buddy_pool	1	16384	0
gymies_buddy_search_prefs	1	16384	16384
gymies_bulk_campaigns	0	16384	32768
gymies_cancellation_policies	0	16384	16384
gymies_chat_leakage_flags	0	16384	81920
gymies_client_dossier	1	16384	32768
gymies_client_goal_progress_points	0	16384	16384
gymies_client_goals	2	16384	32768
gymies_client_intake_forms	5	16384	32768
gymies_client_progress	5	16384	32768
gymies_client_session_entries	0	16384	49152
gymies_client_session_notes	7	16384	32768
gymies_client_videos	0	16384	0
gymies_conversations	13	16384	49152
gymies_cookie_preferences	1	16384	16384
gymies_corporate_invite_codes	0	16384	32768
gymies_corporate_wallet_transactions	0	16384	32768
gymies_dashboard_widgets	0	16384	16384
gymies_device_tokens	0	16384	0
gymies_dispute_messages	0	16384	32768
gymies_disputes	0	16384	49152
gymies_document_uploads	0	16384	32768
gymies_email_verification_codes	1	16384	49152
gymies_exercise_library	20	16384	16384
gymies_favorites	0	16384	49152
gymies_ghost_ratings	0	16384	49152
gymies_group_session_participants	9	16384	32768
gymies_group_sessions	8	16384	81920
gymies_gym_demo_requests	0	16384	49152
gymies_idempotency_keys	74	114688	32768
gymies_identity_fraud_reports	0	16384	49152
